 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 10   # Spanwise =100     First strip =  1
     Surface area =    0.148910       Ave. chord =    0.136733
     CLsurf  =   0.40000     Clsurf  =   0.00000
     CYsurf  =  -0.00000     Cmsurf  =   0.23445
     CDsurf  =   0.00629     Cnsurf  =   0.00000
     CDisurf =   0.00629     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.40024     CDsurf  =   0.00629
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    31  -0.3088   0.1504   0.0021   0.0571   0.0314   0.3808   0.3796   0.0068   0.0000   0.0015  -0.0931    0.246
    32  -0.2944   0.1518   0.0022   0.0584   0.0314   0.3854   0.3846   0.0069   0.0000   0.0014  -0.0945    0.246
    33  -0.2797   0.1529   0.0023   0.0596   0.0315   0.3902   0.3897   0.0070   0.0000   0.0014  -0.0959    0.246
    34  -0.2647   0.1537   0.0023   0.0607   0.0316   0.3953   0.3950   0.0071   0.0000   0.0014  -0.0973    0.246
    35  -0.2495   0.1544   0.0024   0.0618   0.0316   0.4005   0.4003   0.0072   0.0000   0.0014  -0.0987    0.247
    36  -0.2340   0.1549   0.0024   0.0629   0.0317   0.4058   0.4058   0.0073   0.0000   0.0014  -0.1001    0.247
    37  -0.2183   0.1552   0.0025   0.0638   0.0318   0.4113   0.4113   0.0074   0.0000   0.0014  -0.1015    0.247
    38  -0.2024   0.1553   0.0025   0.0647   0.0318   0.4169   0.4169   0.0075   0.0000   0.0014  -0.1029    0.247
    39  -0.1862   0.1552   0.0025   0.0656   0.0319   0.4226   0.4226   0.0075   0.0000   0.0014  -0.1043    0.247
    40  -0.1699   0.1550   0.0025   0.0664   0.0320   0.4284   0.4284   0.0076   0.0000   0.0014  -0.1057    0.247
    41  -0.1534   0.1546   0.0026   0.0671   0.0321   0.4343   0.4342   0.0076   0.0000   0.0014  -0.1071    0.247
    42  -0.1368   0.1540   0.0026   0.0678   0.0323   0.4402   0.4400   0.0077   0.0000   0.0014  -0.1085    0.247
    43  -0.1200   0.1533   0.0026   0.0684   0.0324   0.4462   0.4459   0.0077   0.0000   0.0015  -0.1099    0.247
    44  -0.1031   0.1525   0.0026   0.0689   0.0326   0.4521   0.4518   0.0078   0.0000   0.0016  -0.1113    0.246
    45  -0.0860   0.1516   0.0026   0.0694   0.0328   0.4580   0.4576   0.0077   0.0000   0.0017  -0.1125    0.246
    46  -0.0689   0.1506   0.0026   0.0698   0.0330   0.4639   0.4633   0.0077   0.0000   0.0019  -0.1138    0.246
    47  -0.0518   0.1494   0.0026   0.0701   0.0333   0.4695   0.4689   0.0075   0.0000   0.0022  -0.1149    0.245
    48  -0.0345   0.1483   0.0026   0.0703   0.0336   0.4749   0.4742   0.0073   0.0000   0.0026  -0.1158    0.244
    49  -0.0173   0.1471   0.0025   0.0705   0.0339   0.4799   0.4792   0.0066   0.0000   0.0032  -0.1164    0.243
    50  -0.0043   0.1464   0.0013   0.0705   0.0340   0.4814   0.4814   0.0059   0.0000   0.0036  -0.1168    0.243
    51   0.0043   0.1464   0.0013   0.0705   0.0340   0.4814   0.4814   0.0059   0.0000   0.0036  -0.1168    0.243
    52   0.0173   0.1471   0.0025   0.0705   0.0339   0.4799   0.4792   0.0066   0.0000   0.0032  -0.1164    0.243
    53   0.0345   0.1483   0.0026   0.0703   0.0336   0.4749   0.4742   0.0073   0.0000   0.0026  -0.1158    0.244
    54   0.0518   0.1494   0.0026   0.0701   0.0333   0.4695   0.4689   0.0076   0.0000   0.0022  -0.1149    0.245
    55   0.0689   0.1506   0.0026   0.0698   0.0330   0.4639   0.4633   0.0077   0.0000   0.0019  -0.1138    0.246
    56   0.0860   0.1516   0.0026   0.0694   0.0328   0.4580   0.4576   0.0077   0.0000   0.0017  -0.1125    0.246
    57   0.1031   0.1525   0.0026   0.0689   0.0326   0.4521   0.4518   0.0078   0.0000   0.0016  -0.1112    0.246
    58   0.1200   0.1533   0.0026   0.0684   0.0324   0.4462   0.4459   0.0077   0.0000   0.0015  -0.1099    0.247
    59   0.1368   0.1540   0.0026   0.0678   0.0323   0.4402   0.4400   0.0077   0.0000   0.0014  -0.1085    0.247
    60   0.1534   0.1546   0.0026   0.0671   0.0321   0.4343   0.4342   0.0077   0.0000   0.0014  -0.1071    0.247
    61   0.1699   0.1550   0.0025   0.0664   0.0320   0.4284   0.4284   0.0076   0.0000   0.0014  -0.1057    0.247
    62   0.1862   0.1552   0.0025   0.0656   0.0319   0.4226   0.4226   0.0075   0.0000   0.0014  -0.1043    0.247
    63   0.2024   0.1553   0.0025   0.0647   0.0318   0.4169   0.4169   0.0075   0.0000   0.0014  -0.1029    0.247
    64   0.2183   0.1552   0.0025   0.0638   0.0318   0.4113   0.4113   0.0074   0.0000   0.0014  -0.1015    0.247
    65   0.2340   0.1549   0.0024   0.0629   0.0317   0.4058   0.4058   0.0073   0.0000   0.0014  -0.1001    0.247
    66   0.2495   0.1544   0.0024   0.0618   0.0316   0.4005   0.4003   0.0072   0.0000   0.0014  -0.0987    0.247
    67   0.2647   0.1537   0.0023   0.0607   0.0316   0.3953   0.3949   0.0071   0.0000   0.0014  -0.0973    0.246
    68   0.2797   0.1529   0.0023   0.0596   0.0315   0.3902   0.3897   0.0070   0.0000   0.0014  -0.0959    0.246
    69   0.2944   0.1518   0.0022   0.0584   0.0314   0.3854   0.3846   0.0069   0.0000   0.0014  -0.0945    0.246
    70   0.3088   0.1504   0.0021   0.0571   0.0314   0.3808   0.3796   0.0068   0.0000   0.0015  -0.0931    0.246
    71   0.3229   0.1489   0.0021   0.0558   0.0313   0.3764   0.3747   0.0067   0.0000   0.0015  -0.0917    0.246
    72   0.3366   0.1471   0.0020   0.0544   0.0313   0.3722   0.3700   0.0065   0.0000   0.0016  -0.0903    0.246
    73   0.3500   0.1450   0.0019   0.0530   0.0312   0.3683   0.3654   0.0064   0.0000   0.0016  -0.0890    0.246
    74   0.3631   0.1428   0.0018   0.0515   0.0312   0.3647   0.3609   0.0063   0.0000   0.0017  -0.0876    0.245
    75   0.3758   0.1403   0.0018   0.0500   0.0311   0.3614   0.3566   0.0061   0.0000   0.0018  -0.0862    0.245
    76   0.3881   0.1375   0.0017   0.0484   0.0311   0.3584   0.3524   0.0059   0.0000   0.0019  -0.0847    0.245
    77   0.4000   0.1345   0.0016   0.0468   0.0310   0.3560   0.3483   0.0057   0.0000   0.0020  -0.0832    0.244
    78   0.4115   0.1312   0.0015   0.0452   0.0310   0.3538   0.3444   0.0055   0.0000   0.0021  -0.0817    0.244
    79   0.4226   0.1277   0.0014   0.0435   0.0310   0.3521   0.3406   0.0053   0.0000   0.0022  -0.0802    0.244
    80   0.4333   0.1239   0.0013   0.0418   0.0310   0.3511   0.3370   0.0050   0.0000   0.0023  -0.0785    0.243
    81   0.4436   0.1199   0.0012   0.0400   0.0310   0.3506   0.3335   0.0047   0.0000   0.0025  -0.0769    0.243
    82   0.4534   0.1157   0.0011   0.0382   0.0310   0.3511   0.3301   0.0044   0.0000   0.0026  -0.0750    0.242
    83   0.4627   0.1112   0.0010   0.0363   0.0310   0.3522   0.3268   0.0041   0.0000   0.0028  -0.0731    0.241
    84   0.4716   0.1065   0.0009   0.0345   0.0310   0.3546   0.3237   0.0036   0.0000   0.0031  -0.0711    0.241
    85   0.4800   0.1015   0.0008   0.0325   0.0310   0.3577   0.3206   0.0032   0.0000   0.0033  -0.0689    0.240
    86   0.4879   0.0963   0.0007   0.0306   0.0311   0.3632   0.3177   0.0026   0.0000   0.0036  -0.0664    0.239
    87   0.4953   0.0910   0.0007   0.0286   0.0312   0.3699   0.3148   0.0019   0.0000   0.0040  -0.0639    0.237
    88   0.5022   0.0854   0.0006   0.0266   0.0312   0.3793   0.3119   0.0011   0.0000   0.0045  -0.0609    0.236
    89   0.5087   0.0797   0.0005   0.0246   0.0314   0.3916   0.3089   0.0002   0.0000   0.0050  -0.0578    0.234
    90   0.5146   0.0739   0.0004   0.0226   0.0316   0.4084   0.3058  -0.0010   0.0000   0.0056  -0.0542    0.232
    91   0.5200   0.0679   0.0003   0.0205   0.0318   0.4303   0.3024  -0.0024   0.0000   0.0065  -0.0503    0.229
    92   0.5248   0.0617   0.0003   0.0184   0.0320   0.4615   0.2986  -0.0042   0.0000   0.0075  -0.0458    0.225
    93   0.5292   0.0556   0.0002   0.0163   0.0323   0.4984   0.2938  -0.0064   0.0000   0.0089  -0.0411    0.220
    94   0.5330   0.0493   0.0002   0.0142   0.0326   0.5592   0.2877  -0.0094   0.0000   0.0107  -0.0355    0.213
    95   0.5363   0.0431   0.0001   0.0120   0.0329   0.6351   0.2793  -0.0132   0.0000   0.0130  -0.0296    0.203
    96   0.5390   0.0371   0.0001   0.0099   0.0332   0.7392   0.2666  -0.0183   0.0000   0.0161  -0.0232    0.190
    97   0.5412   0.0314   0.0001   0.0077   0.0335   0.8359   0.2455  -0.0245   0.0000   0.0195  -0.0170    0.170
    98   0.5428   0.0262   0.0000   0.0055   0.0336   1.0474   0.2108  -0.0335   0.0000   0.0224  -0.0099    0.144
    99   0.5439   0.0222   0.0000   0.0033   0.0339   0.7465   0.1495  -0.0376   0.0000   0.0211  -0.0053    0.109
   100   0.5445   0.0202   0.0000   0.0011   0.0344   0.2632   0.0551  -0.0277   0.0000   0.0092  -0.0015    0.083
 ---------------------------------------------------------------
